#
# mes parameters from the test fit $Id: mesparsetting_R22.dat,v 1.1 2008/09/18 17:23:26 petrella Exp $
#--------------------------------------
#              Mean     Sigma    Alpha    N    Argus      CutOff   Endpoint ThoSigR   sigma_r1 ThoSigXc  sigma_r2    sigma_l  ThoSigN  ThoSigAlpha
#--------------------------------------
Nsl            5.27992  0.00510  0.46452  20.  -37.305891 5.28938  5.28938  0.31317   0.000905  5.2792   0.0034968   0.002000  1.7410   3.1730
Nslerror       0.00003	0.00005	 0.020	  17	 0.283    0.000008 0.00001  0.0218    0.000052  0.000057 0.0000111   0.0000317 0.0432   0.00210
datacuts       5.27992  0.00510  0.46452  20.  -37.305891 5.28938  5.28938  0.31317   0.000905  5.2792   0.0034968   0.002000  1.7410   3.1730 
datacutserror  0.00003	0.00005	 0.020    17     0.126    0.000042 0.00001  0.0117    0.0000111 0.000096 0.0000217   0.0000653 0.0239   0.00343
vubcuts        5.27992  0.00510  0.46452  20.  -36.9136   5.289471 5.2899   0.32042   0.000729  5.2792   0.0028678   0.002100  2.4917   4.1352
vubcutserror   0.00003	0.00005	 0.020	  17	 1.54     0.000096 0.0001   0.10000   0.000122  0.00008  0.0000616   0.000024  0.407    0.221
vcbcuts        5.27992  0.00510  0.46452  20.  -47.437636 5.288874 5.2899   0.40301   0.000781  5.279704 0.0030907   0.002123  2.0500   3.4
vcbcutserror   0.00003	0.00005	 0.020	  17	 0.236    0.0001   0.0001   0.0223    0.000003  0.000013 0.0000136   0.0000066 0.0359   0.0008
othcuts        5.27992  0.00510  0.46452  20.  -21.28     5.2891   5.2899   0.70901   0.0013148 5.2797   0.0032550   0.0021374 2.0758   3.6800  
othcutserror   0.00003	0.00005	 0.020	  17	 1.29     0.0001   0.0001   0.002906  0.000002  0.000055 0.000067    0.000002  0.014351 0.000326
vubMC          5.27992  0.00510  0.46452  20.  -36.9136   5.289471 5.2899   0.32042   0.000729  5.2792   0.0028678   0.002100  2.4917   4.1352
vubMCerror     0.00003	0.00005	 0.020	   17	 1.43     0.000055 0.0001   0.10000   0.000049  0.00003  0.0000616   0.000012  0.407    0.221
vcbMC          5.27992  0.00510  0.46452  20.  -47.437636 5.288874 5.2899   0.40301   0.000781  5.279704 0.0030907   0.002123  2.0500   3.4
vcbMCerror     0.00003	0.00005	 0.020	  17	 0.211    0.0001   0.0001   0.0143    0.000003  0.000010 0.0000116   0.0000058 0.0251   0.0006
vubMCchop      5.27992  0.00510  0.46452  20.  -21.28     5.2891   5.2899   0.70901   0.0013148 5.2797   0.0032550   0.0021374 2.0758   3.6800   
vubMCchoperror 0.00003	0.00005	 0.020	  17	 1.29     0.0001   0.0001   0.002906  0.000002  0.000055 0.000067    0.000002  0.014351 0.000326 
vuboutMC       5.27992  0.00510  0.46452  20.  -36.9136   5.289471 5.2899   0.429130  0.000729  5.2792   0.0028253   0.002100  2.9100   4.212
vuboutMCerror  0.00003	0.00005	 0.020	  17	 1.22     0.000024 0.0001   0.0339    0.000001  0.00004  0.0000541   0.000037  0.499    0.0898
pstarcuts      5.27992  0.00510  0.46452  20   -47.438    5.2889   5.2899   0.24268   0.000781  5.2797   0.0030020   0.002123  2.0156   3.4634
pstarcutserror 0.00003	0.00005	 0.020	  17     0.212    0.000006 0.0001   0.0111    0.0000114 0.000007 0.0000116   0.0000005 0.0359   0.0008
pstarMC        5.27992  0.00510  0.46452  20   -47.438    5.2889   5.2899   0.24268   0.000781  5.2797   0.0030020   0.002123  2.0156   3.4634
pstarMCerror   0.00003	0.00005	 0.020	  17	 0.189    0.00011  0.0001   0.0113    0.0000021 0.000013 0.0000106   0.0000078 0.0201   0.0006
