1   30   1732.75   49.2215   0.973276   1
2   30   170.03   11.8285   0.955529   1
3   30   2616.29   984.24   0.861693   1
4   30   51.9348   45.63   0.736015   2
5   30   51.0453   58.5855   0.708601   2
6   30   1.06773   1.50991   0.701529   2
7   30   887.091   947.05   0.709468   2
8   30   13.3888   20.3384   0.679252   2
9   30   1819.28   547.674   0.894484   1
10   30   64.1399   54.9927   0.736375   2
11   30   100.108   7.8733   0.955078   1
12   30   642.92   909.609   0.692434   2
13   30   59.86   160.26   0.593789   2
14   30   144.123   257.802   0.669163   2
15   30   33.09   158.893   0.507407   2
16   30   16.357   19.9889   0.703425   2
17   30   1.15625e-09   3.35022   0.357875   4
18   30   2.43489   1.57182   0.771213   2
19   30   313.223   1409.98   0.509457   2
20   30   13.2408   201.87   0.389749   4
21   30   12.8703   30.4874   0.629825   2
22   30   12.1537   5.64933   0.83558   1
23   30   10.2078   116.898   0.432059   4
24   30   45.2386   232.633   0.505507   2
25   30   26.6848   68.3801   0.600503   2
26   30   30.5518   173.695   0.504959   2
27   30   2.93756   3.2189   0.709401   2
28   30   10.9503   15.9093   0.690653   2
29   30   2.41073   3.43586   0.692367   2
30   30   0   100000   0.355102   4
31   30   0   100000   0.355102   4
32   30   133.026   118.8   0.734876   2
33   30   4.97838   6.37584   0.701901   2
34   30   173.322   278.338   0.672878   2
35   30   2.41857e-10   14.8555   0.357233   4
36   30   487.072   318.991   0.766121   2
37   30   82.2967   101.66   0.702863   2
38   30   155.568   45.2599   0.92405   1
39   30   51.3866   90.589   0.670792   2
40   30   375.911   698.276   0.661292   2
41   30   706.696   1345.43   0.650819   2
42   30   28.0729   239.256   0.462524   3
43   30   61.423   201.465   0.552957   2
44   30   38.472   54.272   0.701562   2
45   30   74.8184   733.385   0.446929   4
46   30   0.592802   93.5333   0.359056   4
47   30   1.20236e-10   76.6334   0.356709   4
48   30   146.51   382.997   0.597096   2
49   30   9.40009e-09   21.946   0.358443   4
50   30   25.7694   210.576   0.472945   3
51   30   166.765   1371.59   0.463705   3
52   30   3.47638   77.1387   0.367204   4
1   31   2642.67   236.802   0.943076   1
2   31   241.795   48.3794   0.931468   1
3   31   4021.27   2793.33   0.740331   2
4   31   75.8272   162.958   0.630208   2
5   31   1.59502   9.21477   0.501844   2
6   31   105.565   44.5263   0.859449   1
7   31   1220.38   2949.93   0.604365   2
8   31   31.4415   146.834   0.508179   2
9   31   2729.96   1700.6   0.771195   2
10   31   112.861   205.731   0.667324   2
11   31   180.891   51.2714   0.927062   1
12   31   903.193   3766.62   0.524696   2
13   31   54.5394   322.618   0.490362   3
14   31   252.897   757.704   0.571495   2
15   31   29.2044   342.47   0.426023   4
16   31   16.2684   11.7153   0.740412   2
17   31   2.94888e-11   8.60041   0.356925   4
18   31   4.33305   5.14718   0.703497   2
19   31   496.091   2897.56   0.491664   3
20   31   128.927   1492.92   0.427214   4
21   31   9.02923   202.676   0.366756   4
22   31   11.7061   8.7739   0.740303   2
23   31   15.5948   529.032   0.363208   4
24   31   0   193.576   0.354643   4
25   31   141.814   1234.82   0.45677   3
26   31   3.3633   171.588   0.359596   4
27   31   0.674534   63.4153   0.359251   4
28   31   27.7083   444.849   0.380912   4
29   31   43.3154   118.76   0.592788   2
30   31   0   100000   0.354643   4
31   31   0   100000   0.354643   4
32   31   117.95   171.126   0.690892   2
33   31   7.17749   37.3081   0.505434   2
34   31   203.861   623.246   0.56769   2
35   31   62.71   413.611   0.481465   3
36   31   675.622   985.923   0.680449   2
37   31   124.778   712.834   0.502086   2
38   31   252.377   191.651   0.738169   2
39   31   71.7494   175.087   0.603588   2
40   31   691.122   2028.85   0.575951   2
41   31   709.067   2257.56   0.554913   2
42   31   104.288   1598.76   0.38505   4
43   31   63.1233   164.263   0.599624   2
44   31   90.9209   226.472   0.602312   2
45   31   319.468   3398.82   0.433954   4
46   31   94.5972   925.74   0.449628   4
47   31   46.0648   988.922   0.375126   4
48   31   101.906   835.702   0.468963   3
49   31   2.19879e-09   117.43   0.357252   4
50   31   10.615   166.894   0.382268   4
51   31   56.8823   820.041   0.395542   4
52   31   45.006   704.4   0.382813   4
1   32   1915.47   125.658   0.955853   1
2   32   187.093   27.5637   0.940293   1
3   32   2872.07   1598.07   0.800723   1
4   32   72.6426   91.9489   0.702001   2
5   32   80.2104   118.104   0.679358   2
6   32   57.652   22.0392   0.861111   1
7   32   810.866   1724.65   0.631565   2
8   32   27.2745   89.837   0.552515   2
9   32   1819.99   823.464   0.835796   1
10   32   75.2715   116.271   0.67563   2
11   32   118.171   24.5603   0.929709   1
12   32   310.26   737.628   0.623908   2
13   32   31.2289   96.7428   0.567478   2
14   32   111.605   389.629   0.550309   2
15   32   17.3725   99.7877   0.501884   2
16   32   7.08939   42.1362   0.490274   3
17   32   3.71832   7.63707   0.650677   2
18   32   2.64259e-10   10.2498   0.357619   4
19   32   186.205   803.626   0.521827   2
20   32   32.455   277.286   0.461568   3
21   32   2.77759   30.0651   0.433819   4
22   32   2.2715   2.56215   0.709352   2
23   32   15.1075   43.5361   0.59246   2
24   32   57.5795   257.459   0.514082   2
25   32   32.7144   107.15   0.554281   2
26   32   16.3647   128.209   0.476325   3
27   32   14.3477   157.646   0.43312   4
28   32   5.00878   12.2698   0.603581   2
29   32   21.7676   46.4366   0.631164   2
30   32   0   100000   0.354643   4
31   32   0   100000   0.354643   4
32   32   144.985   222.349   0.676757   2
33   32   0.0574729   42.9372   0.358784   4
34   32   75.5071   188.522   0.600781   2
35   32   3.67328   80.9713   0.367437   4
